id,salary_in_usd
0,97044.00713306379
1,174801.15352973566
2,99990.27818913483
3,86878.2598730077
4,39612.494522792156
5,109258.43538995077
6,145274.80973322876
7,43961.129035463964
8,51767.58990259209
9,192504.6038967171
10,28121.88644781644
11,216020.74120445744
12,60172.50748102364
13,21603.799756234508
14,89353.42508737724
15,60238.12489126751
16,80074.62666708606
17,99338.52421638966
18,68766.46080472041
19,56487.56188551313
20,59767.60655343948
21,47835.22348442177
22,97281.90629888448
23,172699.44198142676
24,17644.287873810626
25,17644.287873810626
26,99361.0696584113
27,220211.28414100912
28,33256.8846306841
29,113704.63694307889
30,90724.85551604048
31,100979.20321694453
32,95221.90876310036
33,37639.70876669194
34,81231.54123727471
35,70817.05138283478
36,172699.44198142676
37,72157.92913604173
38,81231.54123727471
39,172699.44198142676
40,33491.57119556337
41,20277.99387539775
42,99338.52421638966
43,153585.9566653392
44,99361.0696584113
45,199895.74153733073
46,133970.3179289344
47,69276.72068003366
48,100979.20321694453
49,52959.44108533154
50,99361.0696584113
51,32185.248379998313
52,137239.76706352856
53,138857.9006220618
54,103416.08899860467
55,76703.21177940359
56,158473.5393584666
57,152789.28007760723
58,118573.77160530457
59,150613.39515905766
60,118573.77160530457
61,219190.60393570573
62,150613.39515905766
63,150613.39515905766
64,173465.90690384828
65,155654.7405187767
66,155654.7405187767
67,150613.39515905766
68,118573.77160530457
69,69455.84991834562
70,201939.28641310075
71,150613.39515905766
72,103416.08899860467
73,56906.43814024941
74,98350.67334482954
75,138857.9006220618
76,71814.70950953348
77,76703.21177940359
78,55433.10559983358
79,159418.8257136006
80,47330.574939884405
81,44054.55520947915
82,299309.5673706152
83,216559.31610796778
84,103416.08899860467
85,73906.93102242012
86,73906.93102242012
87,158473.5393584666
88,150613.39515905766
89,331969.3622165108
90,87934.71725849604
91,51100.62788961723
92,77113.04722761775
93,33382.5806670537
94,150613.39515905766
95,264945.3846131859
96,58386.52716650772
97,82669.74857566685
98,65582.73480895096
99,188716.79630395153
100,150613.39515905766
101,118573.77160530457
102,118573.77160530457
103,155654.7405187767
104,158473.5393584666
105,61246.12334916633
106,118573.77160530457
