id,salary_in_usd
0,97044.00713306385
1,174801.15352973563
2,99990.2781891348
3,86878.2598730077
4,39612.49452279215
5,109258.4353899508
6,145274.80973322885
7,43961.12903546396
8,51767.58990259211
9,192504.6038967171
10,28121.886447816443
11,216020.74120445744
12,60172.50748102363
13,21603.79975623454
14,89353.42508737727
15,60238.12489126751
16,80074.62666708605
17,99338.52421638963
18,68766.46080472041
19,56487.56188551309
20,59767.6065534395
21,47835.22348442175
22,97281.90629888445
23,172699.4419814267
24,17644.287873810645
25,17644.287873810645
26,99361.06965841133
27,220211.2841410091
28,33256.8846306841
29,113704.63694307889
30,86684.94068660328
31,100979.20321694454
32,95221.90876310036
33,37639.708766691954
34,81231.5412372747
35,70817.05138283475
36,172699.4419814267
37,72157.92913604171
38,81231.5412372747
39,172699.4419814267
40,33491.57119556336
41,20277.99387539778
42,99338.52421638963
43,153585.9566653392
44,99361.06965841133
45,199895.74153733067
46,133970.31792893444
47,69276.72068003366
48,100979.20321694454
49,52084.882705575
50,99361.06965841133
51,32185.248379998324
52,137239.76706352856
53,138857.90062206183
54,103416.08899860464
55,76703.21177940359
56,158473.5393584666
57,152789.28007760725
58,118573.77160530459
59,150613.39515905766
60,118573.77160530459
61,219190.6039357057
62,150613.39515905766
63,150613.39515905766
64,173465.90690384823
65,155654.7405187767
66,155654.7405187767
67,150613.39515905766
68,118573.77160530459
69,69455.84991834563
70,206598.84541794614
71,150613.39515905766
72,103416.08899860464
73,56906.43814024942
74,98350.67334482959
75,138857.90062206183
76,71814.70950953348
77,76703.21177940359
78,55433.105599833594
79,159418.82571360059
80,47330.574939884405
81,44054.55520947916
82,299309.56737061514
83,216559.31610796775
84,103416.08899860464
85,73906.93102242012
86,73906.93102242012
87,158473.5393584666
88,150613.39515905766
89,331969.3622165108
90,87934.71725849605
91,51100.62788961724
92,77113.04722761776
93,33382.5806670537
94,150613.39515905766
95,264945.3846131859
96,58386.527166507716
97,82669.74857566685
98,65582.73480895095
99,188716.79630395144
100,150613.39515905766
101,118573.77160530459
102,118573.77160530459
103,155654.7405187767
104,158473.5393584666
105,61246.12334916633
106,118573.77160530459
